Estacion,MES,Tmed,pp
Estacion_01,JUL,9.7,4
Estacion_01,AGO,11.1,5
Estacion_01,SET,14,12
Estacion_01,OCT,16.6,57
Estacion_01,NOV,18.8,79
Estacion_01,DIC,21.6,90
Estacion_01,ENE,21.9,98
Estacion_01,FEB,20.9,94
Estacion_01,MAR,18.1,78
Estacion_01,ABR,15.6,40
Estacion_01,MAY,12.8,27
Estacion_01,JUN,10.1,9
Estacion_10,JUL,7.5,3
Estacion_10,AGO,9.5,4
Estacion_10,SET,12.5,5
Estacion_10,OCT,16,12
Estacion_10,NOV,19.6,23
Estacion_10,DIC,22.3,32
Estacion_10,ENE,23.4,54
Estacion_10,FEB,22.1,50
Estacion_10,MAR,18.9,33
Estacion_10,ABR,14.3,9
Estacion_10,MAY,10.8,4
Estacion_10,JUN,7.6,2
